epoch,train_loss,val_loss,train_bitwise_accuracy,val_bitwise_accuracy,train_exact_match,val_exact_match,val_f1_micro
1,0.6843442793550163,0.6457250714302063,0.5789431673052363,0.7326543209876544,0.0,0.0,0.7326543209876544
2,0.5949384919528303,0.4612535238265991,0.7571240421455939,0.8410493827160493,0.0,0.0,0.8410493827160493
3,0.3914302813595739,0.2689858376979828,0.8546921562366965,0.9077777777777778,0.0,0.0,0.9077777777777778
4,0.2606875927283846,0.21821843087673187,0.9104672200936569,0.9339506172839506,0.0,0.0,0.9339506172839506
5,0.2118519297961531,0.18006294965744019,0.930123190719455,0.9332716049382717,0.0,0.0,0.9332716049382717
6,0.17954270490284624,0.1586124300956726,0.9294047999148574,0.9337345679012345,0.0,0.0,0.9337345679012345
7,0.16441655313146525,0.15518216788768768,0.9249281609195402,0.9345987654320987,0.0,0.0,0.9345987654320987
8,0.16364537487769948,0.15469767153263092,0.9240900383141762,0.9351543209876543,0.0,0.0,0.9351543209876543
9,0.15855961883890218,0.1522597223520279,0.9304690825883355,0.9371913580246913,0.0,0.0,0.9371913580246913
10,0.1531283089826847,0.15056779980659485,0.9343936249467859,0.937716049382716,0.0,0.0,0.937716049382716
11,0.15122803634610668,0.15075907111167908,0.9357904959557258,0.9377777777777778,0.0,0.0,0.9377777777777778
12,0.15064124763011932,0.15009965002536774,0.9364224137931034,0.937962962962963,0.0,0.0,0.937962962962963
13,0.1499110943284528,0.1489279717206955,0.9358836206896551,0.9378703703703704,0.0,0.0,0.9378703703703704
14,0.14799084283154587,0.14806176722049713,0.935823754789272,0.9385493827160494,0.0,0.0,0.9385493827160494
15,0.14762529628030185,0.14733058214187622,0.9359501383567476,0.9384567901234568,0.0,0.0,0.9384567901234568
16,0.14705853523879214,0.14638781547546387,0.9355776394210302,0.9385802469135802,0.0,0.0,0.9385802469135802
17,0.14578006442250876,0.1462079882621765,0.9361430395913155,0.9384567901234568,0.0,0.0,0.9384567901234568
18,0.14665751313341074,0.1458061784505844,0.935823754789272,0.938395061728395,0.0,0.0,0.938395061728395
19,0.1453951078242269,0.14556969702243805,0.9363625478927203,0.9379938271604938,0.0,0.0,0.9379938271604938
20,0.14611267992134752,0.14531955122947693,0.9364290655598126,0.9384567901234568,0.0,0.0,0.9384567901234568
21,0.1449752557894279,0.1450204998254776,0.9365621008939975,0.9379320987654322,0.0,0.0,0.9379320987654322
22,0.1456250604884378,0.1452697068452835,0.9363159855257557,0.9377469135802469,0.0,0.0,0.9377469135802469
23,0.14456494101162615,0.14525580406188965,0.9365088867603235,0.9372222222222222,0.0,0.0,0.9372222222222222
24,0.14544111284716377,0.14535340666770935,0.9363625478927203,0.9378086419753087,0.0,0.0,0.9378086419753087
25,0.14462683786605968,0.1450711041688919,0.9361962537249894,0.938179012345679,0.0,0.0,0.938179012345679
26,0.1438764395384953,0.1450684815645218,0.9364889314601959,0.9380864197530864,0.0,0.0,0.9380864197530864
27,0.14398770856446233,0.14469413459300995,0.9374068752660707,0.9380555555555555,0.0,0.0,0.9380555555555555
28,0.1432168072667615,0.14451269805431366,0.9370410280970626,0.938179012345679,0.0,0.0,0.938179012345679
29,0.14331495402188138,0.14432792365550995,0.9369279480630055,0.938395061728395,0.0,0.0,0.938395061728395
30,0.14232160356538048,0.1437619924545288,0.9377328118348234,0.9387654320987654,0.0,0.0,0.9387654320987654
31,0.1418989609027731,0.14307034015655518,0.9380254895700298,0.938858024691358,0.0,0.0,0.938858024691358
32,0.14176872578160515,0.14293521642684937,0.9376596424010217,0.9389814814814815,0.0,0.0,0.9389814814814815
33,0.14100665727566028,0.14284737408161163,0.9386374521072797,0.9390432098765432,0.0,0.0,0.9390432098765432
34,0.14044266322563434,0.14167870581150055,0.9386374521072797,0.9397530864197531,0.0,0.0,0.9397530864197531
35,0.1390864674387307,0.13981465995311737,0.9397482971477225,0.9407407407407408,0.0,0.0,0.9407407407407408
36,0.13692560380902782,0.13915063440799713,0.9408391868880375,0.9409567901234568,0.0,0.0,0.9409567901234568
37,0.13623632542018232,0.13722984492778778,0.9417504789272031,0.9425925925925925,0.0,0.0,0.9425925925925925
38,0.13356400512415786,0.13589170575141907,0.942894582801192,0.9435185185185185,0.0,0.0,0.9435185185185185
39,0.13191080375992018,0.13507185876369476,0.9434865900383141,0.9437962962962962,0.0,0.0,0.9437962962962962
40,0.1302710129269238,0.13352727890014648,0.9441451149425287,0.944320987654321,0.0,0.0,0.944320987654321
41,0.12916133732631288,0.13328950107097626,0.9447238186462324,0.9442901234567901,0.0,0.0,0.9442901234567901
42,0.12795790310563712,0.13251498341560364,0.9451495317156237,0.9441358024691358,0.0,0.0,0.9441358024691358
43,0.12617261245332914,0.13137468695640564,0.9464333226905066,0.9446913580246914,0.0,0.0,0.9446913580246914
44,0.12548858287005588,0.1298435926437378,0.946360153256705,0.9450617283950618,0.0,0.0,0.9450617283950618
45,0.12575505494043746,0.13112829625606537,0.945688324819072,0.9445987654320988,0.0,0.0,0.9445987654320988
46,0.1254883025740755,0.12921148538589478,0.9459810025542784,0.9454938271604938,0.0,0.0,0.9454938271604938
47,0.1239747340823042,0.12977942824363708,0.9461339931885909,0.9454320987654321,0.0,0.0,0.9454320987654321
48,0.1221856464599741,0.12970660626888275,0.9469787675606641,0.9450617283950618,0.0,0.0,0.9450617283950618
49,0.12134540209482456,0.12948130071163177,0.9474709982971478,0.9444753086419753,0.0,0.0,0.9444753086419753
50,0.12138207693552149,0.12817226350307465,0.9475308641975309,0.9453395061728395,0.0,0.0,0.9453395061728395
