time,accuracy
0,0.9700854700854701
1,0.9729344729344729
2,0.9729344729344729
3,0.9629629629629629
4,0.948005698005698
5,0.9465811965811965
6,0.9472934472934473
7,0.9330484330484331
8,0.938034188034188
9,0.9558404558404558
10,0.9522792022792023
11,0.9643874643874644
12,0.9672364672364673
13,0.9636752136752137
14,0.9594017094017094
15,0.9494301994301995
16,0.9515669515669516
17,0.9401709401709402
18,0.9237891737891738
19,0.9344729344729344
20,0.9316239316239316
21,0.9351851851851852
22,0.9508547008547008
23,0.9508547008547008
