time,accuracy
0,0.9672364672364673
1,0.9715099715099715
2,0.9729344729344729
3,0.9594017094017094
4,0.9394586894586895
5,0.9458689458689459
6,0.9437321937321937
7,0.9351851851851852
8,0.938034188034188
9,0.9537037037037037
10,0.9565527065527065
11,0.957977207977208
12,0.9594017094017094
13,0.9565527065527065
14,0.9544159544159544
15,0.9472934472934473
16,0.9515669515669516
17,0.9444444444444444
18,0.9245014245014245
19,0.9358974358974359
20,0.9316239316239316
21,0.9316239316239316
22,0.9451566951566952
23,0.9451566951566952
