scenario_id,case_name,num_generators,time_horizon,objective,solve_time,gap,solver_status,termination_condition,feasible,error
0,case10,10,24,390889.53686307854,0.13989295600913465,0.0009769029985531312,ok,optimal,True,
1,case10,10,24,408083.58264772565,0.0675579709932208,0.0009447580574122963,ok,optimal,True,
2,case10,10,24,395043.0610738348,0.07162902201525867,0.0009035099678004517,ok,optimal,True,
3,case10,10,24,367741.18209076184,0.07094814500305802,0.000760914407256388,ok,optimal,True,
4,case10,10,24,364539.32730149844,0.0746857289923355,0.0009887140434272114,ok,optimal,True,
5,case10,10,24,413538.96198928385,0.07073872396722436,0.0009478073846160361,ok,optimal,True,
6,case10,10,24,402936.0319188228,0.06877890898613259,0.0009847639316094233,ok,optimal,True,
7,case10,10,24,371230.3553464076,0.08722577994922176,6.837272936433696e-12,ok,optimal,True,
8,case10,10,24,429313.77209430677,0.11208231601631269,0.0009784773937769069,ok,optimal,True,
9,case10,10,24,440532.3424137062,0.06812707800418139,0.00017213513308836495,ok,optimal,True,
10,case10,10,24,391975.8481775809,0.06526095501612872,0.0009455129308893936,ok,optimal,True,
11,case10,10,24,373488.75946930295,0.0833513350225985,0.0009692607704795772,ok,optimal,True,
12,case10,10,24,418955.6591927587,0.06246614002157003,0.0009792576706686078,ok,optimal,True,
13,case10,10,24,359898.2255385876,0.0983430520282127,0.0006835874211422836,ok,optimal,True,
14,case10,10,24,359275.79107175965,0.10474769602296874,3.461541832168548e-05,ok,optimal,True,
