generator,accuracy
0,1.0
1,1.0
2,1.0
3,1.0
4,0.9951923076923077
5,1.0
6,1.0
7,1.0
8,0.9871794871794872
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,0.9599358974358975
15,1.0
16,0.8782051282051282
17,0.9647435897435898
18,0.8717948717948718
19,0.8605769230769231
20,0.907051282051282
21,0.8862179487179487
22,0.7868589743589743
23,0.9711538461538461
24,1.0
25,1.0
26,0.9150641025641025
27,0.9759615384615384
28,1.0
29,0.9967948717948718
30,0.8253205128205128
31,0.9839743589743589
32,0.8589743589743589
33,0.8862179487179487
34,0.9807692307692307
35,0.967948717948718
36,1.0
37,0.8301282051282052
38,0.9743589743589743
39,0.8269230769230769
40,1.0
41,0.7980769230769231
42,0.9615384615384616
43,1.0
44,0.9487179487179487
45,1.0
46,0.9967948717948718
47,0.7932692307692307
48,0.9855769230769231
49,0.8974358974358975
50,1.0
51,0.9743589743589743
52,0.9391025641025641
53,0.9951923076923077
