time,accuracy
0,0.9586894586894587
1,0.9629629629629629
2,0.9586894586894587
3,0.9537037037037037
4,0.9273504273504274
5,0.9408831908831908
6,0.9287749287749287
7,0.9166666666666666
8,0.9266381766381766
9,0.9515669515669516
10,0.9529914529914529
11,0.9572649572649573
12,0.9586894586894587
13,0.9558404558404558
14,0.9544159544159544
15,0.9472934472934473
16,0.9415954415954416
17,0.9202279202279202
18,0.9038461538461539
19,0.9152421652421653
20,0.9081196581196581
21,0.9166666666666666
22,0.9294871794871795
23,0.9401709401709402
