time,accuracy
0,0.9586894586894587
1,0.9629629629629629
2,0.9629629629629629
3,0.9537037037037037
4,0.9330484330484331
5,0.9266381766381766
6,0.9209401709401709
7,0.9173789173789174
8,0.9209401709401709
9,0.9472934472934473
10,0.948005698005698
11,0.9622507122507122
12,0.9622507122507122
13,0.9594017094017094
14,0.9558404558404558
15,0.9437321937321937
16,0.9423076923076923
17,0.9245014245014245
18,0.9038461538461539
19,0.9138176638176638
20,0.9102564102564102
21,0.9173789173789174
22,0.9323361823361823
23,0.9458689458689459
