time,accuracy
0,0.9700854700854701
1,0.9700854700854701
2,0.9722222222222222
3,0.9601139601139601
4,0.9401709401709402
5,0.948005698005698
6,0.9458689458689459
7,0.9373219373219374
8,0.9415954415954416
9,0.9551282051282052
10,0.9551282051282052
11,0.9594017094017094
12,0.9629629629629629
13,0.9608262108262108
14,0.9572649572649573
15,0.9451566951566952
16,0.9494301994301995
17,0.938034188034188
18,0.9280626780626781
19,0.9330484330484331
20,0.9358974358974359
21,0.9316239316239316
22,0.9408831908831908
23,0.9465811965811965
