scenario_id,case_name,model_name,baseline_mode,baseline_solve_time,baseline_objective,baseline_feasible,baseline_gap,baseline_status,baseline_termination_condition,policy_mode,policy_solver_time,feasibility_check_time,policy_total_time,policy_objective,policy_gap,policy_status,policy_termination_condition,policy_feasible,prediction_partially_feasible,prediction_fully_feasible,violation_types,num_binaries_fixed,pct_binaries_fixed,scenario_normalized_policy_time,scenario_speedup,cost_deviation_vs_full_milp
5,case10,pqc_qcnn,full_milp,0.13250905403401703,413538.96198928385,True,0.0009478073846160361,ok,optimal,partial_fix_confident,0.07155357499141246,0.0009987740777432919,0.07255234906915575,413538.96198928385,0.0009478073846160361,ok,optimal,True,True,False,demand_capacity;ramp;reserve,0,0.0,0.5475274848051552,1.8263923323517959,0.0
9,case10,pqc_qcnn,full_milp,0.06874784897081554,440532.3424137062,True,0.00017213513308836495,ok,optimal,partial_fix_confident,0.05580483400262892,0.0009204000234603882,0.05672523402608931,440532.3424137061,0.00045748694547134185,ok,optimal,True,True,False,demand_capacity;ramp;reserve,7,0.029166666666666667,0.8251201292155337,1.2119447394293117,-1.32130278096141e-16
11,case10,pqc_qcnn,full_milp,0.09160088503267616,373640.92809730285,True,0.0009088235871494954,ok,optimal,partial_fix_confident,0.05695069895591587,0.0009343610145151615,0.05788505997043103,373398.60660430294,0.0009121404613609867,ok,optimal,True,True,False,reserve,35,0.14583333333333334,0.6319268634771605,1.5824616071827156,-0.00064854108524429
