time,accuracy
0,0.9444444444444444
1,0.9583333333333334
2,0.9555555555555556
3,0.9444444444444444
4,0.9388888888888889
5,0.9388888888888889
6,0.9166666666666666
7,0.9222222222222223
8,0.9388888888888889
9,0.9416666666666667
10,0.9472222222222222
11,0.9555555555555556
12,0.9666666666666667
13,0.9583333333333334
14,0.9527777777777777
15,0.9361111111111111
16,0.9305555555555556
17,0.9277777777777778
18,0.9111111111111111
19,0.925
20,0.9444444444444444
21,0.9333333333333333
22,0.9444444444444444
23,0.9472222222222222
