scenario_id,model_name,fully_feasible,partially_feasible,demand_coverage_ok,reserve_ok,min_generation_ok,ramp_ok,min_up_ok,min_down_ok,capacity_ratio_min,violation_types
5,henderson_quanv,False,True,False,False,True,False,False,True,0.8438889978353074,demand_capacity;min_up;ramp;reserve
9,henderson_quanv,False,True,False,False,True,False,False,True,0.8046207660348508,demand_capacity;min_up;ramp;reserve
11,henderson_quanv,False,True,True,False,True,True,False,True,0.9724302402028646,min_up;reserve
