epoch,train_loss,val_loss,train_bitwise_accuracy,val_bitwise_accuracy,train_exact_match,val_exact_match,val_f1_micro
1,0.6948835253715515,0.685792088508606,0.515,0.6291666666666667,0.0,0.0,0.6291666666666667
2,0.6136183738708496,0.676990807056427,0.7104166666666667,0.7166666666666667,0.0,0.0,0.7166666666666667
3,0.5238634943962097,0.6614162921905518,0.7920833333333334,0.7854166666666667,0.0,0.0,0.7854166666666667
4,0.4206293225288391,0.6364169716835022,0.85625,0.8458333333333333,0.0,0.0,0.8458333333333333
5,0.3245428502559662,0.5998218655586243,0.8891666666666667,0.8770833333333333,0.0,0.0,0.8770833333333333
6,0.24667470157146454,0.5529345870018005,0.9170833333333334,0.9041666666666667,0.0,0.0,0.9041666666666667
7,0.19078172743320465,0.49758490920066833,0.9275,0.9145833333333333,0.0,0.0,0.9145833333333333
8,0.15947610139846802,0.4377332329750061,0.9391666666666667,0.9145833333333333,0.0,0.0,0.9145833333333333
9,0.12962721288204193,0.3782274127006531,0.9495833333333333,0.9166666666666666,0.0,0.0,0.9166666666666666
10,0.11756043136119843,0.32338061928749084,0.9495833333333333,0.9145833333333333,0.0,0.0,0.9145833333333333
11,0.10896703600883484,0.2762001156806946,0.9516666666666667,0.91875,0.0,0.0,0.91875
12,0.10871368646621704,0.24057802557945251,0.9504166666666667,0.91875,0.0,0.0,0.91875
13,0.10029584169387817,0.21464551985263824,0.9541666666666667,0.9125,0.0,0.0,0.9125
14,0.10044717788696289,0.1979498267173767,0.95375,0.9145833333333333,0.0,0.0,0.9145833333333333
15,0.08743473142385483,0.18803071975708008,0.95875,0.9125,0.0,0.0,0.9125
16,0.08381973206996918,0.18387264013290405,0.9625,0.9125,0.0,0.0,0.9125
17,0.07725202292203903,0.1826072335243225,0.9645833333333333,0.9125,0.0,0.0,0.9125
18,0.07574523240327835,0.18298593163490295,0.9654166666666667,0.9145833333333333,0.0,0.0,0.9145833333333333
19,0.07327214628458023,0.18457849323749542,0.9683333333333334,0.9166666666666666,0.0,0.0,0.9166666666666666
20,0.06291426718235016,0.1866065263748169,0.9720833333333333,0.9208333333333333,0.0,0.0,0.9208333333333333
21,0.0606127493083477,0.18892385065555573,0.9729166666666667,0.9208333333333333,0.0,0.0,0.9208333333333333
22,0.057675618678331375,0.19160224497318268,0.975,0.9229166666666667,0.0,0.0,0.9229166666666667
23,0.053778521716594696,0.1943199634552002,0.9795833333333334,0.9229166666666667,0.0,0.0,0.9229166666666667
24,0.05235374718904495,0.1974705159664154,0.97875,0.925,0.0,0.0,0.925
25,0.046257466077804565,0.2017425298690796,0.9820833333333333,0.9291666666666667,0.0,0.0,0.9291666666666667
