scenario_id,case_name,model_name,mode,solve_time,objective,gap,solver_status,termination_condition,feasible,predicted_schedule_feasible,num_binaries_fixed,pct_binaries_fixed,baseline_full_milp_time,baseline_full_milp_objective,speedup_vs_full_milp,cost_deviation_vs_full_milp
15,case118_reduced,henderson_quanv,full_milp,1.109561308985576,2484516.1388037214,0.0009467359923239317,ok,optimal,True,False,0,0.0,1.109561308985576,2484516.1388037214,1.0,0.0
15,case118_reduced,henderson_quanv,warm_start,1.0432225129916333,2484516.1388037214,0.0009467359923239317,ok,optimal,True,False,0,0.0,1.109561308985576,2484516.1388037214,1.0635902649413729,0.0
15,case118_reduced,henderson_quanv,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,1296,1.0,1.109561308985576,2484516.1388037214,,
15,case118_reduced,henderson_quanv,partial_fix_confident,0.3146793030318804,2485290.545120781,0.0008495565854738133,ok,optimal,True,False,1022,0.7885802469135802,1.109561308985576,2484516.1388037214,3.526006630544639,0.0003116930113532239
18,case118_reduced,henderson_quanv,full_milp,0.80417324003065,2527318.918515465,0.0009393149441627789,ok,optimal,True,False,0,0.0,0.80417324003065,2527318.918515465,1.0,0.0
18,case118_reduced,henderson_quanv,warm_start,0.793113338004332,2527318.918515465,0.0009393149441627789,ok,optimal,True,False,0,0.0,0.80417324003065,2527318.918515465,1.0139449199708928,0.0
18,case118_reduced,henderson_quanv,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,1296,1.0,0.80417324003065,2527318.918515465,,
18,case118_reduced,henderson_quanv,partial_fix_confident,0.18206916301278397,2528288.014913297,0.000998992002694591,ok,optimal,True,False,1019,0.7862654320987654,0.80417324003065,2527318.918515465,4.416855807560257,0.00038344840088516127
19,case118_reduced,henderson_quanv,full_milp,0.7663381450111046,2532624.84251878,0.0007578620397815663,ok,optimal,True,False,0,0.0,0.7663381450111046,2532624.84251878,1.0,0.0
19,case118_reduced,henderson_quanv,warm_start,0.7736143909860402,2532624.84251878,0.0007578620397815663,ok,optimal,True,False,0,0.0,0.7663381450111046,2532624.84251878,0.990594479549868,0.0
19,case118_reduced,henderson_quanv,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,1296,1.0,0.7663381450111046,2532624.84251878,,
19,case118_reduced,henderson_quanv,partial_fix_confident,0.1516861109994352,2532650.6861828296,0.000936381365724045,ok,optimal,True,False,1027,0.7924382716049383,0.7663381450111046,2532624.84251878,5.052131272677682,1.0204300145746887e-05
22,case118_reduced,henderson_quanv,full_milp,0.8360431169858202,2171614.4080425515,0.0007911508849012308,ok,optimal,True,False,0,0.0,0.8360431169858202,2171614.4080425515,1.0,0.0
22,case118_reduced,henderson_quanv,warm_start,0.8410800829879008,2171614.4080425515,0.0007911508849012308,ok,optimal,True,False,0,0.0,0.8360431169858202,2171614.4080425515,0.9940113122353499,0.0
22,case118_reduced,henderson_quanv,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,1296,1.0,0.8360431169858202,2171614.4080425515,,
22,case118_reduced,henderson_quanv,partial_fix_confident,0.205154342984315,2172335.667848805,0.0009994886543193081,ok,optimal,True,False,1053,0.8125,0.8360431169858202,2171614.4080425515,4.075190926129892,0.0003321306966753874
24,case118_reduced,henderson_quanv,full_milp,0.8797926579718478,2417923.314668417,0.0008905893971618811,ok,optimal,True,False,0,0.0,0.8797926579718478,2417923.314668417,1.0,0.0
24,case118_reduced,henderson_quanv,warm_start,0.8796206139959395,2417923.314668417,0.0008905893971618811,ok,optimal,True,False,0,0.0,0.8797926579718478,2417923.314668417,1.0001955888404284,0.0
24,case118_reduced,henderson_quanv,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,1296,1.0,0.8797926579718478,2417923.314668417,,
