scenario_id,case_name,model_name,mode,solve_time,objective,gap,solver_status,termination_condition,feasible,predicted_schedule_feasible,num_binaries_fixed,pct_binaries_fixed,baseline_full_milp_time,baseline_full_milp_objective,speedup_vs_full_milp,cost_deviation_vs_full_milp
15,case24,henderson_quanv,full_milp,0.4201337209669873,1105863.0940101105,0.0009012564406593105,ok,optimal,True,False,0,0.0,0.4201337209669873,1105863.0940101105,1.0,0.0
15,case24,henderson_quanv,warm_start,0.3599156239069998,1105863.0940101105,0.0009012564406593105,ok,optimal,True,False,0,0.0,0.4201337209669873,1105863.0940101105,1.1673117060223746,0.0
15,case24,henderson_quanv,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,576,1.0,0.4201337209669873,1105863.0940101105,,
15,case24,henderson_quanv,partial_fix_confident,0.06922547903377563,1105738.4563381786,0.0005495321959368156,ok,optimal,True,False,452,0.7847222222222222,0.4201337209669873,1105863.0940101105,6.069061952781879,-0.00011270624058889162
18,case24,henderson_quanv,full_milp,0.15036213502753526,1121890.7955390853,0.0009989904104275057,ok,optimal,True,False,0,0.0,0.15036213502753526,1121890.7955390853,1.0,0.0
18,case24,henderson_quanv,warm_start,0.15133486094418913,1121890.7955390853,0.0009989904104275057,ok,optimal,True,False,0,0.0,0.15036213502753526,1121890.7955390853,0.9935723605877392,0.0
18,case24,henderson_quanv,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,576,1.0,0.15036213502753526,1121890.7955390853,,
18,case24,henderson_quanv,partial_fix_confident,0.042131610098294914,,,warning,infeasible,False,False,447,0.7760416666666666,0.15036213502753526,1121890.7955390853,3.568867524329921,
22,case24,henderson_quanv,full_milp,0.21121074596885592,984879.5007935697,0.0005835234840496078,ok,optimal,True,False,0,0.0,0.21121074596885592,984879.5007935697,1.0,0.0
22,case24,henderson_quanv,warm_start,0.20632902206853032,984879.5007935697,0.0005835234840496078,ok,optimal,True,False,0,0.0,0.21121074596885592,984879.5007935697,1.0236598993752035,0.0
22,case24,henderson_quanv,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,576,1.0,0.21121074596885592,984879.5007935697,,
22,case24,henderson_quanv,partial_fix_confident,0.06804297596681863,984656.3183340369,0.0009701317924734643,ok,optimal,True,False,435,0.7552083333333334,0.21121074596885592,984879.5007935697,3.1040786057307885,-0.0002266088992135945
26,case24,henderson_quanv,full_milp,0.44157224299851805,1046895.3351790273,0.0005365136221135522,ok,optimal,True,False,0,0.0,0.44157224299851805,1046895.3351790273,1.0,0.0
26,case24,henderson_quanv,warm_start,0.4238692360231653,1046895.3351790273,0.0005365136221135522,ok,optimal,True,False,0,0.0,0.44157224299851805,1046895.3351790273,1.0417652555808161,0.0
26,case24,henderson_quanv,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,576,1.0,0.44157224299851805,1046895.3351790273,,
26,case24,henderson_quanv,partial_fix_confident,0.07471671409439296,1047079.0707672602,0.000553117454256005,ok,optimal,True,False,450,0.78125,0.44157224299851805,1046895.3351790273,5.909952657188057,0.0001755052124684938
30,case24,henderson_quanv,full_milp,0.3503083230461925,968395.2409166773,0.00011905319179458457,ok,optimal,True,False,0,0.0,0.3503083230461925,968395.2409166773,1.0,0.0
30,case24,henderson_quanv,warm_start,0.3511273158947006,968395.2409166773,0.00011905319179458457,ok,optimal,True,False,0,0.0,0.3503083230461925,968395.2409166773,0.9976675330814944,0.0
30,case24,henderson_quanv,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,576,1.0,0.3503083230461925,968395.2409166773,,
30,case24,henderson_quanv,partial_fix_confident,0.07034747104626149,969432.1029284406,0.0007518666749837173,ok,optimal,True,False,439,0.7621527777777778,0.3503083230461925,968395.2409166773,4.979686090148498,0.001070701267368662
31,case24,henderson_quanv,full_milp,0.2520915970671922,1104233.2000561696,0.0005425200545702993,ok,optimal,True,False,0,0.0,0.2520915970671922,1104233.2000561696,1.0,0.0
31,case24,henderson_quanv,warm_start,0.24668816605117172,1104233.2000561696,0.0005425200545702993,ok,optimal,True,False,0,0.0,0.2520915970671922,1104233.2000561696,1.021903892280344,0.0
31,case24,henderson_quanv,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,576,1.0,0.2520915970671922,1104233.2000561696,,
31,case24,henderson_quanv,partial_fix_confident,0.04391705000307411,,,warning,infeasible,False,False,444,0.7708333333333334,0.2520915970671922,1104233.2000561696,5.740176014772082,
39,case24,henderson_quanv,full_milp,0.1529173880117014,897474.7097968181,0.0008209988342477008,ok,optimal,True,False,0,0.0,0.1529173880117014,897474.7097968181,1.0,0.0
39,case24,henderson_quanv,warm_start,0.1513382060220465,897474.7097968181,0.0008209988342477008,ok,optimal,True,False,0,0.0,0.1529173880117014,897474.7097968181,1.0104347872963741,0.0
39,case24,henderson_quanv,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,576,1.0,0.1529173880117014,897474.7097968181,,
39,case24,henderson_quanv,partial_fix_confident,0.06246413406915963,898074.6992940883,0.0006034418990108579,ok,optimal,True,False,425,0.7378472222222222,0.1529173880117014,897474.7097968181,2.4480830526265343,0.0006685308128694074
40,case24,henderson_quanv,full_milp,0.18533620599191636,932345.383621151,1.833305714555856e-05,ok,optimal,True,False,0,0.0,0.18533620599191636,932345.383621151,1.0,0.0
40,case24,henderson_quanv,warm_start,0.1814292100025341,932345.383621151,1.833305714555856e-05,ok,optimal,True,False,0,0.0,0.18533620599191636,932345.383621151,1.021534547768398,0.0
40,case24,henderson_quanv,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,576,1.0,0.18533620599191636,932345.383621151,,
40,case24,henderson_quanv,partial_fix_confident,0.06745402398519218,932385.1302069569,0.0002651540497010637,ok,optimal,True,False,424,0.7361111111111112,0.18533620599191636,932345.383621151,2.747593027698425,4.2630753049398924e-05
70,case24,henderson_quanv,full_milp,0.1433002590201795,1000826.6495557587,0.000980972792568323,ok,optimal,True,False,0,0.0,0.1433002590201795,1000826.6495557587,1.0,0.0
70,case24,henderson_quanv,warm_start,0.1466403000522405,1000826.6495557587,0.000980972792568323,ok,optimal,True,False,0,0.0,0.1433002590201795,1000826.6495557587,0.977222898269636,0.0
70,case24,henderson_quanv,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,576,1.0,0.1433002590201795,1000826.6495557587,,
70,case24,henderson_quanv,partial_fix_confident,0.07009775494225323,1000832.171948989,0.0008282615592945346,ok,optimal,True,False,443,0.7690972222222222,0.1433002590201795,1000826.6495557587,2.0442917057505015,5.517831917045849e-06
73,case24,henderson_quanv,full_milp,0.2451735360082239,967047.9321756908,0.00087307234244936,ok,optimal,True,False,0,0.0,0.2451735360082239,967047.9321756908,1.0,0.0
73,case24,henderson_quanv,warm_start,0.24428612797055393,967047.9321756908,0.00087307234244936,ok,optimal,True,False,0,0.0,0.2451735360082239,967047.9321756908,1.0036326583299766,0.0
73,case24,henderson_quanv,full_fix_feasible,,,,skipped_predicted_schedule_infeasible,skipped,False,False,576,1.0,0.2451735360082239,967047.9321756908,,
73,case24,henderson_quanv,partial_fix_confident,0.0740146350581199,966676.6762524175,0.0008693986901688271,ok,optimal,True,False,414,0.71875,0.2451735360082239,967047.9321756908,3.312500775227787,-0.0003839064341288782
76,case24,henderson_quanv,full_milp,0.18766676995437592,1061110.8372202846,0.0006037364038575484,ok,optimal,True,False,0,0.0,0.18766676995437592,1061110.8372202846,1.0,0.0
