scenario_id,case_name,num_generators,time_horizon,objective,solve_time,gap,solver_status,termination_condition,feasible,error
0,case24,24,24,996482.5996285608,0.2780613930663094,0.0007328330496576025,ok,optimal,True,
1,case24,24,24,1048558.0844539523,0.19362729194108397,0.000960767818588574,ok,optimal,True,
2,case24,24,24,1011858.1502961541,0.33450481202453375,0.0009556363182657578,ok,optimal,True,
3,case24,24,24,929506.6781101872,0.2978412479860708,0.0008816468474186654,ok,optimal,True,
4,case24,24,24,921827.4046133576,0.32520750805269927,0.0006793466801285235,ok,optimal,True,
5,case24,24,24,1066757.315840181,0.22626366303302348,0.00020821163136616074,ok,optimal,True,
6,case24,24,24,1034678.7463083026,0.20474974403623492,0.00024138953826297873,ok,optimal,True,
7,case24,24,24,939166.5202241527,0.3834424529923126,0.0004984100161265364,ok,optimal,True,
8,case24,24,24,1111805.062019994,0.20411679800599813,0.0009984571681999179,ok,optimal,True,
9,case24,24,24,1146267.3143163207,0.2899731680518016,0.0009106934682266594,ok,optimal,True,
10,case24,24,24,1003264.6408319535,0.14622705697547644,0.0009956647401103077,ok,optimal,True,
11,case24,24,24,945337.3326570735,0.3741906100185588,0.0009985105570471445,ok,optimal,True,
12,case24,24,24,1082313.2491395466,0.3734829929890111,0.0009566130268011553,ok,optimal,True,
13,case24,24,24,904659.0794933893,0.22373640595469624,6.152772238910864e-05,ok,optimal,True,
14,case24,24,24,906824.7730693021,0.4743670029565692,0.000981644925250593,ok,optimal,True,
15,case24,24,24,1105681.28729685,0.281021031900309,0.0007019338495804869,ok,optimal,True,
16,case24,24,24,1040980.4379798943,0.3612840659916401,0.000994330693425138,ok,optimal,True,
17,case24,24,24,1018993.7927702094,0.28036732401233166,0.0007816884616679376,ok,optimal,True,
18,case24,24,24,1121890.7955390853,0.14752194797620177,0.0009985510177426909,ok,optimal,True,
19,case24,24,24,1123993.6455610287,0.18378415901679546,0.0009857616800096893,ok,optimal,True,
20,case24,24,24,1028657.2672071494,0.21841186296660453,0.0007417315895656134,ok,optimal,True,
21,case24,24,24,1054098.7178204283,0.39749830099754035,0.0009260517683296848,ok,optimal,True,
22,case24,24,24,984678.9496928606,0.19775185897015035,0.0003871241880161996,ok,optimal,True,
23,case24,24,24,1074267.1655287596,0.431833938928321,0.00024185950435266437,ok,optimal,True,
24,case24,24,24,1078600.27683372,0.20272141904570162,0.0009852739417599546,ok,optimal,True,
25,case24,24,24,1186421.0122004827,0.36130863206926733,0.0007874169376180428,ok,optimal,True,
26,case24,24,24,1046894.8994310489,0.33963604702148587,0.0007636936325691236,ok,optimal,True,
27,case24,24,24,973558.886094394,0.39074165595229715,0.0008723815198480373,ok,optimal,True,
28,case24,24,24,961890.3623346724,0.4026422390015796,0.0002525248812550895,ok,optimal,True,
29,case24,24,24,1192418.4831490791,0.23477205797098577,0.0009923133337038604,ok,optimal,True,
30,case24,24,24,968736.5079241814,0.3805614149896428,0.0005367576513069199,ok,optimal,True,
31,case24,24,24,1104492.36371953,0.34668961307033896,0.0006945849808405825,ok,optimal,True,
32,case24,24,24,986225.4755889089,0.27293189300689846,0.00020396299015116464,ok,optimal,True,
33,case24,24,24,907954.5124554923,0.20523488195613027,0.0002989663949744141,ok,optimal,True,
34,case24,24,24,1038719.7546682161,0.5062856100266799,0.0009742207799276699,ok,optimal,True,
