mode,n,feasible_rate,mean_solve_time,median_solve_time,mean_speedup,mean_cost_deviation,mean_pct_binaries_fixed
full_fix_feasible,15,0.0,,,,,1.0
full_milp,15,1.0,0.26513228020630775,0.20966579904779792,1.0,0.0,0.0
partial_fix_confident,15,1.0,0.24257067600265145,0.2118220740230754,1.1043806611469005,0.0,0.0
warm_start,15,1.0,0.24083584954496473,0.21073249401524663,1.111648304140484,0.0,0.0
