number,value,datetime_start,datetime_complete,duration,params_batch_size,params_classical_hidden_dim,params_conv_channels_key,params_data_reuploading,params_dropout,params_lr,params_n_qubits,params_quantum_layers,params_use_cnn_head,params_weight_decay,user_attrs_best_val_bit_accuracy,user_attrs_best_val_loss,state
22,0.12347016453742982,2026-04-26 06:20:50.391255,2026-04-26 06:21:50.380091,0 days 00:00:59.988836,8,512,,False,0.2156940907422295,0.0018073809936134514,10,3,False,4.897160884489236e-06,0.9519753086419753,0.12347016453742982,COMPLETE
23,0.12555885553359986,2026-04-26 06:21:50.380596,2026-04-26 06:22:57.300914,0 days 00:01:06.920318,8,512,,False,0.2201099827591651,0.00198474110477484,10,3,False,4.553727373930538e-06,0.9512345679012346,0.12555885553359986,COMPLETE
24,0.12557879447937012,2026-04-26 06:22:57.301334,2026-04-26 06:23:52.733171,0 days 00:00:55.431837,8,512,,False,0.26747918358554046,0.002054919776560759,10,3,False,4.873498422065458e-07,0.951358024691358,0.12557879447937012,COMPLETE
25,0.1309446209669113,2026-04-26 06:23:52.733595,2026-04-26 06:24:51.458421,0 days 00:00:58.724826,8,512,,False,0.30389486297293766,0.0029942584019899306,10,3,False,4.078822774529719e-06,0.9489506172839506,0.1309446209669113,COMPLETE
26,0.1714289093017578,2026-04-26 06:24:51.458844,2026-04-26 06:25:21.165674,0 days 00:00:29.706830,8,256,,True,0.22576721927493956,0.0012484266651848295,10,4,False,2.5304611398623197e-05,,,PRUNED
27,0.17496968686580658,2026-04-26 06:25:21.165837,2026-04-26 06:25:33.849284,0 days 00:00:12.683447,8,128,,False,0.19761566468275793,0.001704285913224606,10,3,False,4.572067010069234e-06,,,PRUNED
28,0.17924434661865235,2026-04-26 06:25:33.849435,2026-04-26 06:25:43.163273,0 days 00:00:09.313838,8,512,,False,0.2523579761954257,0.0007386694223111295,10,2,False,0.0003388052820749942,,,PRUNED
29,0.5378974676132202,2026-04-26 06:25:43.163435,2026-04-26 06:26:03.185782,0 days 00:00:20.022347,32,64,,True,0.362184030661617,0.0017713438061216365,10,3,False,1.6562968323355745e-05,,,PRUNED
30,0.19806893646717072,2026-04-26 06:26:03.185979,2026-04-26 06:26:19.741901,0 days 00:00:16.555922,8,256,,False,0.29097558812814533,0.0005734889620477404,10,4,False,1.1156938035680183e-07,,,PRUNED
31,0.18924017488956452,2026-04-26 06:26:19.742048,2026-04-26 06:26:27.922913,0 days 00:00:08.180865,16,512,,False,0.1867878056471653,0.0009692163253097288,8,1,False,8.267997863316683e-05,,,PRUNED
32,0.1640544068813324,2026-04-26 06:26:27.923053,2026-04-26 06:26:37.469982,0 days 00:00:09.546929,8,512,,False,0.23659659512892495,0.001284789265651052,6,2,False,0.00030304880161538024,,,PRUNED
33,0.12743507206439972,2026-04-26 06:26:37.470123,2026-04-26 06:27:06.257369,0 days 00:00:28.787246,8,512,,False,0.15295004227529974,0.0014627651128394249,4,3,False,0.00017245379108871023,0.9501234567901234,0.12743507206439972,COMPLETE
34,0.19533884525299072,2026-04-26 06:27:06.257693,2026-04-26 06:27:12.994412,0 days 00:00:06.736719,32,512,,False,0.21623748959397227,0.002203168243976364,6,3,False,6.050210586042357e-05,,,PRUNED
35,0.18048749089241028,2026-04-26 06:27:12.994563,2026-04-26 06:27:20.177008,0 days 00:00:07.182445,8,512,,False,0.09049670686621905,0.0006750272568275545,8,2,False,7.709084664481314e-06,,,PRUNED
36,0.2406117033958435,2026-04-26 06:27:20.177143,2026-04-26 06:27:25.991024,0 days 00:00:05.813881,16,128,,True,0.31625497166128025,0.0011676991399487396,10,1,False,8.741180325844497e-07,,,PRUNED
37,,2026-04-26 06:27:25.991167,2026-04-26 06:27:25.995356,0 days 00:00:00.004189,32,64,32_64_64,False,0.14300973069225992,0.00041632711909676644,6,4,True,2.2989437460921405e-06,,,PRUNED
38,0.1774075573682785,2026-04-26 06:27:25.995471,2026-04-26 06:27:28.538909,0 days 00:00:02.543438,8,512,,False,0.18140917319679592,0.0010068916697191358,4,1,False,4.6681752821541544e-05,,,PRUNED
39,0.4159766209125519,2026-04-26 06:27:28.539092,2026-04-26 06:27:44.101239,0 days 00:00:15.562147,16,64,16_32,True,0.11262396893828873,0.0008469127094742888,8,3,True,2.344211118395875e-05,,,PRUNED
40,0.12470089852809906,2026-04-26 06:27:44.101486,2026-04-26 06:28:21.407266,0 days 00:00:37.305780,8,128,32_64_64,False,0.260484463019813,0.0016417132238335864,10,1,True,4.7144306962915284e-07,0.9517283950617283,0.12470089852809906,COMPLETE
41,0.12649433851242065,2026-04-26 06:28:21.407722,2026-04-26 06:28:58.802734,0 days 00:00:37.395012,8,128,32_64_64,False,0.25802958087848327,0.0015833156178308608,10,1,True,4.0797543383679e-07,0.9502160493827161,0.12649433851242065,COMPLETE
42,0.12418218076229096,2026-04-26 06:28:58.803132,2026-04-26 06:29:28.201980,0 days 00:00:29.398848,8,128,32_64_64,False,0.24057806208449262,0.001811496981153157,10,1,True,1.834485791531118e-06,0.951820987654321,0.12418218076229096,COMPLETE
43,0.548012797832489,2026-04-26 06:29:28.202342,2026-04-26 06:29:34.146435,0 days 00:00:05.944093,8,128,32_64_64,False,0.24196947268995522,0.00010661223528944616,10,1,True,1.7113568871309655e-06,,,PRUNED
44,0.12818909108638762,2026-04-26 06:29:34.146766,2026-04-26 06:29:55.472134,0 days 00:00:21.325368,8,128,32_64_64,False,0.26476403548267874,0.0029342267840395575,10,1,True,2.7862599013163243e-07,0.9491975308641976,0.12818909108638762,COMPLETE
45,0.1244286173582077,2026-04-26 06:29:55.472532,2026-04-26 06:30:26.592931,0 days 00:00:31.120399,8,128,32_64_64,False,0.2128597231012345,0.0018522483710994365,10,1,True,3.134856915118689e-06,0.9516358024691358,0.1244286173582077,COMPLETE
46,0.154066064953804,2026-04-26 06:30:26.593669,2026-04-26 06:30:46.664816,0 days 00:00:20.071147,8,128,32_64_64,False,0.21173644940133501,0.002286766398304579,10,2,True,2.830738222312464e-06,,,PRUNED
47,0.13658468782901764,2026-04-26 06:30:46.664953,2026-04-26 06:31:19.439533,0 days 00:00:32.774580,8,128,32_64_64,False,0.23478378923379206,0.0019668366357381934,10,3,True,6.961181305049434e-06,,,PRUNED
48,0.12381269991397857,2026-04-26 06:31:19.439953,2026-04-26 06:31:48.935823,0 days 00:00:29.495870,8,128,32_64_64,False,0.17816270975729998,0.0013367331198652689,10,1,True,1.1391053502770608e-06,0.9494753086419753,0.12381269991397857,COMPLETE
49,0.16542009353637696,2026-04-26 06:31:48.936250,2026-04-26 06:32:00.786546,0 days 00:00:11.850296,8,128,32_64,False,0.17936615858269953,0.0013195657758642136,10,2,True,1.4313944883848849e-06,,,PRUNED
50,0.20279595255851746,2026-04-26 06:32:00.786687,2026-04-26 06:32:27.090710,0 days 00:00:26.304023,32,256,16_32,True,0.28791764565972866,0.0025171691012928605,10,4,True,7.605025826364616e-07,,,PRUNED
51,0.12269648611545562,2026-04-26 06:32:27.090873,2026-04-26 06:32:52.452264,0 days 00:00:25.361391,8,128,32_64_64,False,0.20143545987653155,0.0017779044627728128,10,1,True,3.4459121784074e-06,0.9517592592592593,0.12269648611545562,COMPLETE
52,0.16975603938102724,2026-04-26 06:32:52.452752,2026-04-26 06:33:02.458276,0 days 00:00:10.005524,8,128,32_64_64,False,0.19410807197047877,0.001101048436227828,10,1,True,1.0872574082584474e-06,,,PRUNED
53,0.12294570207595826,2026-04-26 06:33:02.458417,2026-04-26 06:33:28.343136,0 days 00:00:25.884719,8,128,32_64_64,False,0.20613594640582128,0.0014457963387726478,10,1,True,6.53529220956132e-06,0.950679012345679,0.12294570207595826,COMPLETE
54,0.12416095376014709,2026-04-26 06:33:28.343601,2026-04-26 06:33:57.888398,0 days 00:00:29.544797,8,128,32_64_64,False,0.15865782692966657,0.001405534416062519,10,1,True,4.999706265034431e-06,0.9510802469135803,0.12416095376014709,COMPLETE
55,0.16887477338314055,2026-04-26 06:33:57.888955,2026-04-26 06:34:00.219320,0 days 00:00:02.330365,8,128,32,False,0.20423549734466617,0.001417370923283625,4,1,True,1.2716090438104801e-05,,,PRUNED
56,0.12619911432266234,2026-04-26 06:34:00.219473,2026-04-26 06:34:59.814912,0 days 00:00:59.595439,8,256,32_64_64,False,0.22383897634030883,0.002250329135959418,10,3,True,6.10491121545278e-06,0.9512345679012346,0.12619911432266234,COMPLETE
57,0.12478627502918244,2026-04-26 06:34:59.815452,2026-04-26 06:35:29.829249,0 days 00:00:30.013797,8,128,32_64_64,False,0.1773108474151616,0.0015951415610207435,10,1,True,3.1148169930738307e-06,0.9506481481481481,0.12478627502918244,COMPLETE
58,0.49840660810470583,2026-04-26 06:35:29.829659,2026-04-26 06:35:34.868045,0 days 00:00:05.038386,8,64,32,False,0.20360126095901163,0.0002370863693347078,6,2,True,9.74458079633245e-06,,,PRUNED
59,0.12557118237018586,2026-04-26 06:35:34.868191,2026-04-26 06:36:35.317924,0 days 00:01:00.449733,8,256,32_64_64,False,0.14815815374651337,0.0011651743999841317,10,3,True,1.7894235995194535e-05,0.9501234567901234,0.12557118237018586,COMPLETE
60,0.17339469730854035,2026-04-26 06:36:35.318416,2026-04-26 06:36:45.026051,0 days 00:00:09.707635,8,512,,False,0.17061592697620337,0.0008880089778922934,10,2,False,1.1571888411000399e-06,,,PRUNED
61,0.1261024409532547,2026-04-26 06:36:45.026233,2026-04-26 06:37:13.596638,0 days 00:00:28.570405,8,128,32_64_64,False,0.1569995266907566,0.0013483959628137132,10,1,True,5.227543540363737e-06,0.95,0.1261024409532547,COMPLETE
62,0.12376814484596252,2026-04-26 06:37:13.597037,2026-04-26 06:37:40.132983,0 days 00:00:26.535946,8,128,32_64_64,False,0.12107989153909236,0.0015159569691356443,10,1,True,3.7375580138142516e-06,0.9513271604938272,0.12376814484596252,COMPLETE
63,0.12541425585746765,2026-04-26 06:37:40.133891,2026-04-26 06:38:14.658516,0 days 00:00:34.524625,8,128,32_64_64,False,0.12390702806352955,0.001984995251423291,10,1,True,3.7553489642262006e-06,0.9504012345679013,0.12541425585746765,COMPLETE
64,0.1255282086133957,2026-04-26 06:38:14.659085,2026-04-26 06:38:43.328715,0 days 00:00:28.669630,8,128,16_32,False,0.2265443806737106,0.0015448698012220231,10,1,True,2.3942424518908498e-06,0.9516975308641975,0.1255282086133957,COMPLETE
65,0.19162915468215944,2026-04-26 06:38:43.329437,2026-04-26 06:38:49.438443,0 days 00:00:06.109006,8,128,,False,0.19080056976831702,0.0010399830863441844,10,1,False,0.0006937287482498621,,,PRUNED
66,0.2534957528114319,2026-04-26 06:38:49.438584,2026-04-26 06:38:59.042132,0 days 00:00:09.603548,32,256,32_64,False,0.2761309636341362,0.0012324454503182026,10,1,True,1.443339227453621e-06,,,PRUNED
67,0.12361681818962098,2026-04-26 06:38:59.042422,2026-04-26 06:39:58.932275,0 days 00:00:59.889853,8,512,,True,0.2449490669702505,0.0017027688739271595,10,3,False,1.1025934593940223e-05,0.951358024691358,0.12361681818962098,COMPLETE
68,0.17376212596893312,2026-04-26 06:39:58.932847,2026-04-26 06:40:04.852721,0 days 00:00:05.919874,8,128,,True,0.08180496765456852,0.0025541084678612582,4,3,False,8.29748111222466e-06,,,PRUNED
69,0.12700668931007386,2026-04-26 06:40:04.853038,2026-04-26 06:40:26.514476,0 days 00:00:21.661438,8,512,32_64_64,True,0.05993844462540776,0.0017402837888950647,10,1,True,1.3218740491389658e-05,0.9506172839506173,0.12700668931007386,COMPLETE
70,0.16841601967811584,2026-04-26 06:40:26.514900,2026-04-26 06:40:37.360611,0 days 00:00:10.845711,8,256,,True,0.24571993724581206,0.0018212415435742964,10,2,False,2.2660110673882995e-05,,,PRUNED
71,0.12496752858161926,2026-04-26 06:40:37.361238,2026-04-26 06:41:45.990510,0 days 00:01:08.629272,8,512,,True,0.22892935930461455,0.002138362045050874,10,3,False,6.110178208731466e-06,0.951604938271605,0.12496752858161926,COMPLETE
72,0.16908520221710205,2026-04-26 06:41:45.991041,2026-04-26 06:42:05.691830,0 days 00:00:19.700789,8,512,,True,0.20714876630294146,0.0014547145638622709,10,3,False,1.1066527706631207e-05,,,PRUNED
73,0.16710655272006988,2026-04-26 06:42:05.691976,2026-04-26 06:42:18.595729,0 days 00:00:12.903753,8,512,,False,0.27388500194514837,0.0016170329119218072,10,3,False,3.630702794693178e-05,,,PRUNED
74,0.17895167410373689,2026-04-26 06:42:18.595875,2026-04-26 06:42:25.758455,0 days 00:00:07.162580,8,512,,False,0.24922342659768365,0.000751966238372985,6,3,False,3.5479585840162506e-06,,,PRUNED
75,0.17087398052215577,2026-04-26 06:42:25.758615,2026-04-26 06:42:45.629275,0 days 00:00:19.870660,8,512,,True,0.23007877776397012,0.0009702577632636379,10,3,False,1.6590112048132497e-05,,,PRUNED
76,0.20383370101451873,2026-04-26 06:42:45.629422,2026-04-26 06:42:51.706781,0 days 00:00:06.077359,8,64,,False,0.10716432657767903,0.0012595550922327075,10,1,False,2.596216316420471e-06,,,PRUNED
77,0.16823526859283447,2026-04-26 06:42:51.707105,2026-04-26 06:43:11.624979,0 days 00:00:19.917874,16,512,,False,0.21651091412366796,0.002714833250113727,10,4,False,0.00010678026901463537,,,PRUNED
78,0.47601526975631714,2026-04-26 06:43:11.625181,2026-04-26 06:43:24.795228,0 days 00:00:13.170047,32,128,,False,0.1975691451106416,0.00108975948627732,10,3,False,1.926747844718218e-06,,,PRUNED
79,0.1256755369901657,2026-04-26 06:43:24.795382,2026-04-26 06:43:38.365768,0 days 00:00:13.570386,8,512,16,False,0.25218725858785523,0.0019223165027709853,8,1,True,4.2599648901438315e-06,0.9523148148148148,0.1256755369901657,COMPLETE
80,0.17273166716098787,2026-04-26 06:43:38.366183,2026-04-26 06:43:57.839660,0 days 00:00:19.473477,8,128,,True,0.2976018395578485,0.0023721841925194117,10,3,False,7.022997883256577e-06,,,PRUNED
81,0.16796136081218718,2026-04-26 06:43:57.839980,2026-04-26 06:44:03.936504,0 days 00:00:06.096524,8,128,32_64_64,False,0.16159577663263575,0.0013952591371521744,10,1,True,5.793238346611121e-06,,,PRUNED
82,0.16333652377128602,2026-04-26 06:44:03.936647,2026-04-26 06:44:11.724385,0 days 00:00:07.787738,8,128,32_64_64,False,0.1384715897841382,0.0014916735223367468,10,1,True,6.048781435859442e-07,,,PRUNED
83,0.12278191089630126,2026-04-26 06:44:11.724550,2026-04-26 06:44:39.945056,0 days 00:00:28.220506,8,128,32_64_64,False,0.1721563855912467,0.0016970510303198406,10,1,True,5.089865655374627e-06,0.9514197530864198,0.12278191089630126,COMPLETE
84,0.16944639027118683,2026-04-26 06:44:39.945719,2026-04-26 06:44:46.233061,0 days 00:00:06.287342,8,128,32_64,False,0.1831248317968296,0.001763370496002045,10,1,True,8.915150510247285e-06,,,PRUNED
85,0.12598991215229036,2026-04-26 06:44:46.233218,2026-04-26 06:45:09.483459,0 days 00:00:23.250241,8,128,32,False,0.16964800133204436,0.0020779895325572857,10,1,True,4.168876820881835e-06,0.9509876543209876,0.12598991215229036,COMPLETE
86,0.12570759356021882,2026-04-26 06:45:09.484305,2026-04-26 06:45:33.358556,0 days 00:00:23.874251,8,256,32_64_64,False,0.22215215079065276,0.0015870981031815966,10,1,True,1.8486692167242644e-07,0.9499074074074074,0.12570759356021882,COMPLETE
87,0.1970851767063141,2026-04-26 06:45:33.359034,2026-04-26 06:45:39.490280,0 days 00:00:06.131246,8,128,16,False,0.1879379642979015,0.000482830320746346,10,1,True,3.2675531510597237e-06,,,PRUNED
88,0.17043305218219756,2026-04-26 06:45:39.490436,2026-04-26 06:45:44.924011,0 days 00:00:05.433575,8,512,,False,0.1289745397116846,0.001242692571495707,6,2,False,9.571903281237587e-07,,,PRUNED
89,,2026-04-26 06:45:44.924174,2026-04-26 06:45:44.929993,0 days 00:00:00.005819,16,128,16_32,False,0.3856771076025868,0.0016653234974709442,4,3,True,2.7265744697930235e-05,,,PRUNED
90,0.5415670132637024,2026-04-26 06:45:44.930117,2026-04-26 06:45:54.616908,0 days 00:00:09.686791,8,64,,False,0.2365692090383629,0.00033070671296945973,10,2,False,7.370018513140127e-06,,,PRUNED
91,0.16911072731018068,2026-04-26 06:45:54.617073,2026-04-26 06:46:00.962623,0 days 00:00:06.345550,8,128,32_64_64,False,0.17127206719023524,0.0013392737617766606,10,1,True,5.119873930825613e-06,,,PRUNED
92,0.16744119346141814,2026-04-26 06:46:00.962771,2026-04-26 06:46:10.849015,0 days 00:00:09.886244,8,128,32_64_64,False,0.20122518885321783,0.0011528714727288834,10,1,True,0.0002588044024034344,,,PRUNED
93,0.16860320985317231,2026-04-26 06:46:10.849160,2026-04-26 06:46:17.079403,0 days 00:00:06.230243,8,128,32_64_64,False,0.20788369899617215,0.0014822924214502513,10,1,True,1.027734033740487e-05,,,PRUNED
94,0.12396213829517365,2026-04-26 06:46:17.079549,2026-04-26 06:46:45.742911,0 days 00:00:28.663362,8,128,32_64_64,False,0.14680842467034855,0.0018464001928792618,10,1,True,2.1620773210775313e-06,0.9502777777777778,0.12396213829517365,COMPLETE
95,0.15897172510623933,2026-04-26 06:46:45.743365,2026-04-26 06:46:53.510489,0 days 00:00:07.767124,8,128,32_64_64,False,0.12119913352948808,0.001909220983745016,10,1,True,1.4684072643584496e-06,,,PRUNED
96,0.1260618144273758,2026-04-26 06:46:53.510640,2026-04-26 06:47:10.617034,0 days 00:00:17.106394,8,512,32_64_64,False,0.09806576118945617,0.0016627103529427575,8,1,True,2.203903808252492e-06,0.9518518518518518,0.1260618144273758,COMPLETE
97,0.2293497622013092,2026-04-26 06:47:10.617571,2026-04-26 06:47:20.342267,0 days 00:00:09.724696,32,128,32_64_64,False,0.14717132316664883,0.002092933924888745,10,1,True,1.6474520329174535e-06,,,PRUNED
98,0.13198113024234773,2026-04-26 06:47:20.342422,2026-04-26 06:47:37.433817,0 days 00:00:17.091395,8,256,16,True,0.13956623455060765,0.0017878049366637796,10,1,True,2.7463928170593763e-06,,,PRUNED
99,0.17434233248233796,2026-04-26 06:47:37.433961,2026-04-26 06:47:50.098022,0 days 00:00:12.664061,8,128,,False,0.1763477220798183,0.0023521032461190075,10,3,False,3.7853381440466955e-06,,,PRUNED
